subject,session,emotion_code,emotion_name,n_frames,npy_path,n_missing_frames,status
S005,001,3,disgust,11,/kaggle/working/landmarks/S005_001_disgust.npy,0,ok
S010,002,7,surprise,14,/kaggle/working/landmarks/S010_002_surprise.npy,0,ok
S010,004,1,anger,19,/kaggle/working/landmarks/S010_004_anger.npy,0,ok
S010,006,5,happiness,15,/kaggle/working/landmarks/S010_006_happiness.npy,0,ok
S011,001,7,surprise,16,/kaggle/working/landmarks/S011_001_surprise.npy,0,ok
S011,002,6,sadness,22,/kaggle/working/landmarks/S011_002_sadness.npy,0,ok
S011,003,4,fear,14,/kaggle/working/landmarks/S011_003_fear.npy,0,ok
S011,004,1,anger,21,/kaggle/working/landmarks/S011_004_anger.npy,0,ok
S011,005,3,disgust,20,/kaggle/working/landmarks/S011_005_disgust.npy,0,ok
S011,006,5,happiness,13,/kaggle/working/landmarks/S011_006_happiness.npy,0,ok
S014,001,7,surprise,29,/kaggle/working/landmarks/S014_001_surprise.npy,0,ok
S014,002,6,sadness,16,/kaggle/working/landmarks/S014_002_sadness.npy,0,ok
S014,003,1,anger,30,/kaggle/working/landmarks/S014_003_anger.npy,0,ok
S014,005,5,happiness,17,/kaggle/working/landmarks/S014_005_happiness.npy,0,ok
S022,001,7,surprise,30,/kaggle/working/landmarks/S022_001_surprise.npy,0,ok
S022,005,1,anger,32,/kaggle/working/landmarks/S022_005_anger.npy,0,ok
S022,006,3,disgust,17,/kaggle/working/landmarks/S022_006_disgust.npy,0,ok
S026,001,7,surprise,15,/kaggle/working/landmarks/S026_001_surprise.npy,0,ok
S026,002,6,sadness,16,/kaggle/working/landmarks/S026_002_sadness.npy,0,ok
S026,003,1,anger,15,/kaggle/working/landmarks/S026_003_anger.npy,0,ok
S026,006,5,happiness,13,/kaggle/working/landmarks/S026_006_happiness.npy,0,ok
S028,001,1,anger,24,/kaggle/working/landmarks/S028_001_anger.npy,0,ok
S029,001,1,anger,19,/kaggle/working/landmarks/S029_001_anger.npy,0,ok
S032,001,7,surprise,22,/kaggle/working/landmarks/S032_001_surprise.npy,0,ok
S032,003,1,anger,17,/kaggle/working/landmarks/S032_003_anger.npy,0,ok
S032,004,4,fear,14,/kaggle/working/landmarks/S032_004_fear.npy,0,ok
S032,005,3,disgust,16,/kaggle/working/landmarks/S032_005_disgust.npy,0,ok
S032,006,5,happiness,16,/kaggle/working/landmarks/S032_006_happiness.npy,0,ok
S034,001,7,surprise,29,/kaggle/working/landmarks/S034_001_surprise.npy,0,ok
S034,003,1,anger,27,/kaggle/working/landmarks/S034_003_anger.npy,0,ok
S034,005,5,happiness,10,/kaggle/working/landmarks/S034_005_happiness.npy,0,ok
S035,001,7,surprise,15,/kaggle/working/landmarks/S035_001_surprise.npy,0,ok
S035,005,3,disgust,19,/kaggle/working/landmarks/S035_005_disgust.npy,0,ok
S035,006,5,happiness,18,/kaggle/working/landmarks/S035_006_happiness.npy,0,ok
S037,001,7,surprise,20,/kaggle/working/landmarks/S037_001_surprise.npy,0,ok
S037,003,1,anger,22,/kaggle/working/landmarks/S037_003_anger.npy,0,ok
S037,006,5,happiness,21,/kaggle/working/landmarks/S037_006_happiness.npy,0,ok
S042,001,7,surprise,19,/kaggle/working/landmarks/S042_001_surprise.npy,0,ok
S042,002,6,sadness,16,/kaggle/working/landmarks/S042_002_sadness.npy,0,ok
S042,004,1,anger,20,/kaggle/working/landmarks/S042_004_anger.npy,0,ok
S042,006,5,happiness,17,/kaggle/working/landmarks/S042_006_happiness.npy,0,ok
S044,001,7,surprise,24,/kaggle/working/landmarks/S044_001_surprise.npy,0,ok
S044,003,5,happiness,14,/kaggle/working/landmarks/S044_003_happiness.npy,0,ok
