variant_key,coord_v,extractor_v,temporal_v,loss_v,norm_v,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,0,278,654,31,28,94.06,0.266352,0.8740740740740741,0.8967741935483872,0.9032258064516129,0.8888888888888888,0.8,0.6666666666666666,0.8888888888888888,1.0,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,1,278,648,31,44,132.04,0.267348,0.8439754689754689,0.8655215751989945,0.8709677419354839,0.5714285714285714,0.8333333333333334,1.0,0.9090909090909091,0.75,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,2,278,648,31,50,146.05,0.266545,0.7666666666666666,0.8709677419354839,0.8709677419354839,0.0,0.8,1.0,1.0,0.8,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,3,278,652,31,25,81.39,0.267232,0.7487430869783811,0.790857782318883,0.8064516129032258,0.6153846153846154,0.7692307692307693,0.6666666666666666,1.0,0.5,0.9411764705882353
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,4,278,648,31,50,146.84,0.266989,0.942857142857143,0.9354838709677419,0.9354838709677419,0.8571428571428571,1.0,1.0,1.0,0.8,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,5,278,648,31,50,145.6,0.266073,0.7606421356421356,0.8355536936182097,0.8387096774193549,0.4,0.9090909090909091,0.75,0.9333333333333333,0.5714285714285714,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,6,278,654,31,46,135.35,0.267232,0.7817460317460317,0.9354838709677419,0.9354838709677419,0.8333333333333334,0.8571428571428571,1.0,1.0,0.0,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,7,278,652,31,50,144.85,0.267427,0.8050366300366302,0.8326302729528536,0.8387096774193549,0.5,0.8571428571428571,0.8,0.9230769230769231,0.75,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,8,278,658,31,49,146.43,0.266352,0.8815789473684211,0.8938879456706281,0.9032258064516129,0.5,0.8421052631578947,1.0,1.0,1.0,0.9473684210526315
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,0,9,279,654,30,50,143.67,0.267656,0.8876262626262627,0.9292929292929293,0.9333333333333333,0.75,0.9090909090909091,1.0,1.0,0.6666666666666666,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,1,0,278,654,31,20,66.62,0.266352,0.5660714285714286,0.6078341013824884,0.6774193548387096,0.25,0.0,0.8,0.875,0.5714285714285714,0.9
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,1,1,278,648,31,43,127.33,0.267348,0.7857142857142857,0.8248847926267281,0.8387096774193549,0.2857142857142857,0.8571428571428571,1.0,1.0,0.5714285714285714,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,1,2,278,648,31,32,99.38,0.266545,0.8148148148148149,0.8853046594982078,0.8709677419354839,0.3333333333333333,0.8888888888888888,1.0,1.0,0.6666666666666666,1.0
A1_B3_C1_D2_E2,A1,B3,C1,D2,E2,1,3,278,652,31,28,88.54,0.267232,0.8148148148148149,0.8422939068100358,0.8387096774193549,0.6666666666666666,0.8888888888888888,1.0,1.0,0.3333333333333333,1.0
