smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F2,G0,0,0,278,278,31,48,77.44,0.266616,0.8421539961013647,0.8635729107715526,0.8709677419354839,0.75,0.8,0.6666666666666666,0.8888888888888888,1.0,0.9473684210526315
F2,G0,0,1,278,278,31,32,51.75,0.267395,0.678692457639826,0.7343200847445329,0.7419354838709677,0.2222222222222222,0.7692307692307693,0.8,1.0,0.3333333333333333,0.9473684210526315
F2,G0,0,2,278,278,31,48,69.17,0.266618,0.7848484848484848,0.8885630498533724,0.9032258064516129,0.0,0.8,1.0,1.0,0.9090909090909091,1.0
F2,G0,0,3,278,278,31,50,71.96,0.267193,0.7443667443667444,0.7545680126325288,0.7741935483870968,0.36363636363636365,0.7692307692307693,1.0,1.0,0.3333333333333333,1.0
F2,G0,0,4,278,278,31,50,72.43,0.266906,0.9082491582491582,0.8971977842945585,0.9032258064516129,0.7272727272727273,0.8888888888888888,1.0,1.0,0.8333333333333334,1.0
F2,G0,0,5,278,278,31,50,71.19,0.266237,0.8087606837606837,0.8365177832919769,0.8387096774193549,0.75,0.7692307692307693,0.6666666666666666,0.9333333333333333,0.8,0.9333333333333333
F2,G0,0,6,278,278,31,43,65.66,0.267193,0.7417929292929294,0.8789100684261975,0.8709677419354839,0.9090909090909091,0.6666666666666666,1.0,0.875,0.0,1.0
F2,G0,0,7,278,278,31,29,47.81,0.267524,0.762962962962963,0.7921146953405017,0.8064516129032258,0.4444444444444444,0.8,1.0,0.9333333333333333,0.4,1.0
F2,G0,0,8,278,278,31,50,73.82,0.266616,0.8727095516569201,0.8962837200528202,0.9032258064516129,0.4,0.8888888888888888,1.0,1.0,1.0,0.9473684210526315
F2,G0,0,9,279,279,30,44,69.01,0.267994,0.8037518037518038,0.8608946608946609,0.8666666666666667,0.5714285714285714,0.7272727272727273,0.8571428571428571,1.0,0.6666666666666666,1.0
F2,G0,1,0,278,278,31,31,53.05,0.266616,0.7483660130718954,0.7619860847564831,0.7741935483870968,0.5,0.6,0.6666666666666666,0.8235294117647058,1.0,0.9
F2,G0,1,1,278,278,31,22,41.21,0.267395,0.47604617604617605,0.569333891914537,0.6129032258064516,0.0,0.6666666666666666,0.0,0.8,0.5714285714285714,0.8181818181818182
F2,G0,1,2,278,278,31,50,75.37,0.266618,0.7545454545454545,0.8592375366568915,0.8709677419354839,0.0,0.8,1.0,1.0,0.7272727272727273,1.0
F2,G0,1,3,278,278,31,40,63.31,0.267193,0.7222222222222223,0.7311827956989246,0.7419354838709677,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0
F2,G0,1,4,278,278,31,24,43.81,0.266906,0.8090909090909091,0.7853372434017595,0.8064516129032258,0.4,0.7272727272727273,1.0,1.0,0.7272727272727273,1.0
F2,G0,1,5,278,278,31,34,56.01,0.266237,0.6469726352079294,0.7438413578831036,0.7741935483870968,0.0,0.7692307692307693,0.6666666666666666,0.9333333333333333,0.5714285714285714,0.9411764705882353
F2,G0,1,6,278,278,31,43,67.29,0.267193,0.7412698412698413,0.881720430107527,0.8709677419354839,0.8,0.7142857142857143,1.0,0.9333333333333333,0.0,1.0
F2,G0,1,7,278,278,31,50,75.7,0.267524,0.7865740740740742,0.8241039426523297,0.8387096774193549,0.4444444444444444,0.875,1.0,1.0,0.4,1.0
F2,G0,1,8,278,278,31,50,75.92,0.266616,0.8716202270381838,0.8945970238689703,0.9032258064516129,0.4,0.9411764705882353,1.0,0.9411764705882353,1.0,0.9473684210526315
F2,G0,1,9,279,279,30,50,77.04,0.267994,0.8277777777777778,0.8644444444444445,0.8666666666666667,0.5,0.6666666666666666,1.0,1.0,0.8,1.0
F2,G0,2,0,278,278,31,24,44.38,0.266616,0.7433862433862434,0.8300051203277009,0.8387096774193549,0.5714285714285714,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,1.0
F2,G0,2,1,278,278,31,50,76.09,0.267395,0.7777777777777777,0.821505376344086,0.8387096774193549,0.4,0.8,0.8,1.0,0.6666666666666666,1.0
F2,G0,2,2,278,278,31,33,54.48,0.266618,0.75,0.8548387096774194,0.8709677419354839,0.0,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0
F2,G0,2,3,278,278,31,31,51.97,0.267193,0.6901960784313724,0.7353573687539532,0.7419354838709677,0.5333333333333333,0.6,0.6666666666666666,1.0,0.4,0.9411764705882353
F2,G0,2,4,278,278,31,45,69.97,0.266906,0.8718855218855218,0.8537960247637667,0.8709677419354839,0.6,0.8888888888888888,1.0,0.9090909090909091,0.8333333333333334,1.0
F2,G0,2,5,278,278,31,50,75.75,0.266237,0.8082611832611833,0.8666596844016199,0.8709677419354839,0.4,0.9090909090909091,0.8571428571428571,0.9333333333333333,0.75,1.0
F2,G0,2,6,278,278,31,50,75.94,0.267193,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
F2,G0,2,7,278,278,31,50,76.72,0.267524,0.7470899470899471,0.8022529441884282,0.8064516129032258,0.4444444444444444,0.8,0.6666666666666666,1.0,0.5714285714285714,1.0
F2,G0,2,8,278,278,31,37,58.36,0.266616,0.8338206627680312,0.8952084512356159,0.9032258064516129,0.5,0.8888888888888888,1.0,1.0,0.6666666666666666,0.9473684210526315
F2,G0,2,9,279,279,30,34,54.51,0.267994,0.7790849673202614,0.8154248366013072,0.8333333333333334,0.3333333333333333,0.6,1.0,1.0,0.8,0.9411764705882353
F2,G1,0,0,278,556,31,27,73.16,0.266616,0.8148148148148149,0.8637992831541219,0.8709677419354839,0.6666666666666666,0.8333333333333334,0.5,0.8888888888888888,1.0,1.0
F2,G1,0,1,278,556,31,37,95.14,0.267395,0.7467532467532467,0.7751989945538332,0.7741935483870968,0.4,0.6,1.0,0.9090909090909091,0.5714285714285714,1.0
F2,G1,0,2,278,556,31,50,123.03,0.266618,0.7000000000000001,0.8258064516129032,0.8387096774193549,0.0,0.8,0.8,1.0,0.6,1.0
F2,G1,0,3,278,556,31,39,97.61,0.267193,0.8015873015873015,0.8079877112135176,0.8064516129032258,0.5714285714285714,0.6666666666666666,1.0,1.0,0.5714285714285714,1.0
F2,G1,0,4,278,556,31,50,121.7,0.266906,0.9096866096866097,0.9012958367797077,0.9032258064516129,0.7692307692307693,0.8888888888888888,1.0,1.0,0.8,1.0
F2,G1,0,5,278,556,31,29,76.26,0.266237,0.8333778966131907,0.8656115232016561,0.8709677419354839,0.75,0.9090909090909091,0.6666666666666666,0.9333333333333333,0.8,0.9411764705882353
F2,G1,0,6,278,556,31,47,115.61,0.267193,0.7594516594516594,0.9166596844016198,0.9032258064516129,0.9090909090909091,0.8571428571428571,0.8571428571428571,0.9333333333333333,0.0,1.0
F2,G1,0,7,278,556,31,41,110.88,0.267524,0.8263888888888888,0.8400537634408601,0.8709677419354839,0.3333333333333333,0.875,1.0,1.0,0.75,1.0
F2,G1,0,8,278,556,31,50,123.02,0.266616,0.8727095516569201,0.8962837200528202,0.9032258064516129,0.4,0.8888888888888888,1.0,1.0,1.0,0.9473684210526315
F2,G1,0,9,279,558,30,50,123.61,0.267994,0.8862914862914862,0.9043867243867244,0.9,0.8571428571428571,0.7272727272727273,1.0,0.9333333333333333,0.8,1.0
F2,G1,1,0,278,556,31,50,125.82,0.266616,0.9179017061370002,0.9358880208975084,0.9354838709677419,0.8571428571428571,0.9090909090909091,0.8,0.9411764705882353,1.0,1.0
F2,G1,1,1,278,556,31,38,104.94,0.267395,0.6796296296296296,0.7225806451612903,0.7096774193548387,0.3333333333333333,0.4444444444444444,0.8,1.0,0.5,1.0
F2,G1,1,2,278,556,31,40,107.29,0.266618,0.7000000000000001,0.8258064516129032,0.8387096774193549,0.0,0.8,0.8,1.0,0.6,1.0
F2,G1,1,3,278,556,31,30,78.85,0.267193,0.7111111111111111,0.7075268817204301,0.7419354838709677,0.2,0.6666666666666666,1.0,1.0,0.4,1.0
F2,G1,1,4,278,556,31,18,53.17,0.266906,0.811111111111111,0.789247311827957,0.8064516129032258,0.4,0.6666666666666666,1.0,1.0,0.8,1.0
F2,G1,1,5,278,556,31,50,122.71,0.266237,0.8400793650793651,0.8939324116743471,0.9032258064516129,0.5,1.0,0.8571428571428571,0.9333333333333333,0.75,1.0
