smooth_mode,aug_mode,seed,n_folds,macro_f1_mean,macro_f1_std,macro_f1_from_cm,weighted_f1_mean,accuracy_mean,epochs_run_mean,combo_time_s,f1_cm_anger,f1_cm_disgust,f1_cm_fear,f1_cm_happiness,f1_cm_sadness,f1_cm_surprise
F0,G0,0,10,0.8086940238410826,0.06064571369133614,0.8237626297296061,0.8492713509345388,0.8576344086021506,42.9,656.5,0.5569620253164557,0.8064516129032258,0.8936170212765957,0.9577464788732394,0.7457627118644068,0.9820359281437125
F0,G0,1,10,0.7989903659292205,0.06851228211467109,0.8079020028334654,0.8450462327656474,0.8513978494623655,45.9,708.1,0.5974025974025974,0.8360655737704918,0.84,0.9361702127659575,0.6557377049180327,0.9820359281437125
F0,G0,2,10,0.7700688996819027,0.058233684661901236,0.7800932333061573,0.826259665276743,0.8319354838709676,43.0,670.9,0.5365853658536586,0.8095238095238095,0.8260869565217391,0.950354609929078,0.5818181818181818,0.9761904761904762
F0,G1,0,10,0.8052779377198883,0.09365806688588744,0.8176419656073796,0.8479611281724034,0.854516129032258,42.0,1088.4,0.6097560975609756,0.8166666666666667,0.8181818181818182,0.9315068493150684,0.7419354838709677,0.9878048780487805
F0,G1,1,10,0.7551999743176213,0.1263386347978708,0.7789378139005417,0.8216346301811198,0.8253763440860216,32.9,918.6,0.5542168674698795,0.8099173553719008,0.8235294117647058,0.9411764705882353,0.5862068965517241,0.9585798816568047
F0,G1,2,10,0.8193862952492985,0.05970331124051063,0.8401017254633034,0.8662492760244185,0.8737634408602151,43.8,1198.8,0.6329113924050633,0.8360655737704918,0.9411764705882353,0.9645390070921985,0.6779661016949152,0.9879518072289156
F0,G2,0,10,0.7211451419810554,0.16713570739876618,0.739587600463683,0.7663945134118408,0.7996774193548387,31.2,1033.5,0.45569620253164556,0.75,0.7,0.918918918918919,0.6538461538461539,0.9590643274853801
F0,G2,1,10,0.7856424774342732,0.11915335800420214,0.8085146209952786,0.8463944190512154,0.8449462365591398,38.0,1227.2,0.6206896551724138,0.7931034482758621,0.851063829787234,0.9420289855072463,0.65625,0.9879518072289156
F0,G2,2,10,0.8263237430497492,0.07275449470901513,0.8317908853184256,0.859147126262776,0.8640860215053763,42.0,1329.8,0.6352941176470588,0.8130081300813008,0.9166666666666666,0.9710144927536232,0.6785714285714286,0.9761904761904762
F0,G3,0,10,0.7521972078202729,0.1208282453634554,0.7794120472529628,0.8048785409415091,0.8189247311827957,34.8,1384.1,0.5555555555555556,0.7868852459016393,0.851063829787234,0.9343065693430657,0.6122448979591837,0.9364161849710982
F0,G3,1,10,0.8048444764156839,0.14938682019539226,0.8253874217767113,0.8525954128708048,0.8579569892473119,40.8,1586.7,0.575,0.7936507936507936,0.8936170212765957,0.950354609929078,0.7457627118644068,0.9939393939393939
F0,G3,2,10,0.7203245570505632,0.1320478981824518,0.7700134119224273,0.803468754034119,0.8189247311827957,31.5,1313.2,0.55,0.7903225806451613,0.723404255319149,0.9027777777777778,0.6779661016949152,0.975609756097561
