seed,n_folds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,macro_f1_from_cm,weighted_f1_mean,weighted_f1_std,accuracy_mean,accuracy_std,epochs_run_mean,epochs_run_std,fold_time_mean_s,total_seed_time_s,mean_vs_cm_delta,mean_f1_anger,f1_cm_anger,mean_f1_disgust,f1_cm_disgust,mean_f1_fear,f1_cm_fear,mean_f1_happiness,f1_cm_happiness,mean_f1_sadness,f1_cm_sadness,mean_f1_surprise,f1_cm_surprise
0,10,0.7573522298135301,0.11771020153808134,0.6864889086947911,0.8321609157812719,0.7726250070512365,0.8091445997991489,0.07982150755213349,0.8191397849462365,0.07207638450223229,35.4,11.758684733704984,127.862,1294.0,-0.01527277723770637,0.5506027306027307,0.5714285714285714,0.7358665826777282,0.7540983606557377,0.8133333333333332,0.8095238095238095,0.9405449452508275,0.9370629370629371,0.5207936507936508,0.5818181818181818,0.9829721362229102,0.9818181818181818
1,10,0.8008949289444646,0.09568489662922078,0.740732494765583,0.8599472062881506,0.8302812990447679,0.8645993167035811,0.04837026984997608,0.8705376344086021,0.043297965769193585,36.6,11.777568132306055,130.945,1340.2,-0.029386370100303316,0.5582539682539683,0.631578947368421,0.8572119693172324,0.85,0.9014285714285715,0.9019607843137255,0.9658110516934046,0.965034965034965,0.5338095238095238,0.6451612903225806,0.9888544891640867,0.9879518072289156
2,10,0.7882197042723359,0.13483178742091467,0.7029819913882414,0.8708961205704626,0.8248531245177587,0.8491969178717905,0.10956895313717152,0.8609677419354839,0.09000462469329597,39.2,11.89584427903758,129.18699999999998,1333.6,-0.03663342024542282,0.5131529581529581,0.5974025974025974,0.8124242570295201,0.8125,0.9349999999999999,0.92,0.9736842105263157,0.965034965034965,0.5205122655122655,0.6785714285714286,0.9745445344129555,0.975609756097561
3,10,0.7639064235271665,0.0895695227486246,0.709147175987927,0.81848326447804,0.7893076105196455,0.8142920824824351,0.07618868504150808,0.831505376344086,0.061619658471089,34.9,10.70254383053134,124.434,1304.0,-0.025401186992478952,0.3901948051948052,0.5,0.7617685238737871,0.768,0.8547619047619047,0.8695652173913043,0.9448586707410236,0.9436619718309859,0.6423809523809524,0.6666666666666666,0.9894736842105264,0.9879518072289156
4,10,0.8160825164114638,0.06343504917927263,0.7780621481345165,0.859852858946609,0.8545716072545341,0.8784107349922291,0.05014258267709451,0.886774193548387,0.043767667757088694,44.4,9.500877152487904,158.58600000000004,1664.5,-0.038489090843070284,0.533919413919414,0.64,0.8660928106980739,0.8617886178861789,0.9157142857142857,0.9166666666666666,0.9655555555555555,0.965034965034965,0.6204761904761905,0.75,0.9947368421052631,0.9939393939393939
5,10,0.8109895231760558,0.06852335990514805,0.7709726027183458,0.8557075612045622,0.8452235271618688,0.8695181686329694,0.0684077038598248,0.8769892473118279,0.06424890896471656,39.8,11.59310139695155,144.447,1538.7,-0.034234003985813,0.5328937728937728,0.6352941176470588,0.846046551487728,0.85,0.9555555555555555,0.96,0.9739156268568033,0.9714285714285714,0.568051948051948,0.6666666666666666,0.9894736842105264,0.9879518072289156
6,10,0.8128050697439242,0.06858687974712348,0.7692070901342379,0.8556630640780216,0.8316491646952254,0.8640002365944142,0.05611030030254557,0.8704301075268817,0.04602665532435373,34.6,10.543033508225019,130.37800000000001,1416.2,-0.018844094951301238,0.6804761904761905,0.6956521739130435,0.841539294039294,0.8448275862068966,0.7766666666666666,0.7906976744186046,0.9665953654188948,0.965034965034965,0.6293650793650795,0.711864406779661,0.9821878224974201,0.9818181818181818
7,10,0.8155625897150666,0.06058142588907115,0.7744027520359757,0.8513868046548968,0.8335905509047801,0.8636444656301343,0.0608149724334034,0.8674193548387097,0.06178829957702498,44.9,8.974655672751153,162.96300000000002,1759.1,-0.018027961189713504,0.5478321678321678,0.6097560975609756,0.8066167312219944,0.8130081300813008,0.9088888888888891,0.9019607843137255,0.9648247177658942,0.9710144927536232,0.6704761904761904,0.711864406779661,0.9947368421052631,0.9939393939393939
8,10,0.8125257956411207,0.08243859786291516,0.76294455864125,0.8648756056465033,0.8350633407930429,0.8632941781578054,0.07622916066814354,0.8675268817204301,0.07676063854315276,39.9,9.158481193832182,143.699,1575.8,-0.02253754515192219,0.5509279609279609,0.6136363636363636,0.8228996983408748,0.8333333333333334,0.9466666666666667,0.9387755102040817,0.9658110516934046,0.9640287769784173,0.5941125541125541,0.6666666666666666,0.9947368421052631,0.9939393939393939
9,10,0.7888781588781589,0.08345914760510764,0.7351306517556517,0.8395522209272209,0.8114933157361217,0.8532366379140572,0.07650765534207159,0.8546236559139784,0.0750793313815042,42.1,8.22529972435993,152.758,1685.6,-0.02261515685796278,0.5736813186813187,0.6292134831460674,0.8290753690753692,0.8403361344537815,0.8790476190476191,0.88,0.9464646464646466,0.9496402877697842,0.515,0.5818181818181818,0.99,0.9879518072289156
