seed,fold_idx,subject,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
5,0,S011,303,708,6,50,165.56,0.266286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,S130,304,712,5,49,154.68,0.266352,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
5,2,S125,304,710,5,24,83.54,0.26661,0.7333333333333333,0.7333333333333333,0.8,0.0,0.6666666666666666,1.0,1.0,0.0,1.0
5,3,S055,304,712,5,50,157.75,0.26661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
5,4,S071,304,712,5,50,158.32,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
5,5,S132,304,710,5,29,97.68,0.267423,0.5333333333333333,0.5333333333333333,0.6,0.0,1.0,0.0,0.6666666666666666,0.0,1.0
5,6,S032,304,712,5,25,88.91,0.267423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
5,7,S131,305,714,4,29,97.72,0.267407,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
5,8,S129,305,716,4,36,118.92,0.267407,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
5,9,S124,305,714,4,50,160.21,0.267407,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,10,S068,305,714,4,36,119.15,0.266803,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,11,S075,305,716,4,24,84.61,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,0.6666666666666666,0.0,1.0,0.0,1.0
5,12,S066,305,714,4,27,93.25,0.267407,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
5,13,S065,305,714,4,15,58.36,0.267407,0.6666666666666666,0.6666666666666666,0.75,0.0,1.0,0.0,1.0,0.0,0.6666666666666666
5,14,S046,305,712,4,28,95.86,0.267407,0.6,0.75,0.75,0.0,1.0,0.0,0.0,1.0,1.0
5,15,S042,305,714,4,15,58.75,0.267407,0.6,0.75,0.75,1.0,0.0,0.0,0.0,1.0,1.0
5,16,S050,305,714,4,50,157.29,0.267407,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
5,17,S062,305,714,4,30,101.6,0.266417,0.6666666666666666,0.6666666666666666,0.75,0.0,1.0,0.0,0.6666666666666666,0.0,1.0
5,18,S087,305,716,4,34,112.32,0.267175,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
5,19,S067,305,716,4,50,159.17,0.266417,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
5,20,S095,305,714,4,17,64.35,0.266417,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
5,21,S074,305,714,4,44,148.87,0.267288,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5,22,S138,305,712,4,24,86.93,0.267407,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5,23,S136,305,714,4,13,55.05,0.267407,0.13333333333333333,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
5,24,S014,305,714,4,50,165.85,0.266417,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
5,25,S026,305,714,4,15,61.53,0.267407,0.6,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0
5,26,S100,306,718,3,50,166.39,0.26661,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
5,27,S099,306,718,3,39,132.72,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5,28,S102,306,716,3,17,65.47,0.267348,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
5,29,S106,306,716,3,50,165.47,0.26661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
5,30,S501,306,714,3,50,165.16,0.26661,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
5,31,S504,306,714,3,33,114.23,0.26661,0.5555555555555555,0.5555555555555555,0.6666666666666666,0.0,0.0,1.0,0.0,0.6666666666666666,0.0
5,32,S134,306,718,3,37,125.57,0.267348,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
5,33,S133,306,718,3,19,71.77,0.267348,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
