variant_key,changed_dim,coord_v,extractor_v,temporal_v,loss_v,norm_v,n_seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,source,is_main_model
A1_B3_C1_D2_E2,A,A1,B3,C1,D2,E2,3,0.8360242006584312,0.014886751702439539,0.8169383373567435,0.8532626135091155,08_ablation_ABCDE,False
A3_B3_C1_D2_E2,A,A3,B3,C1,D2,E2,3,0.5680607249851234,0.020634340856432093,0.5513281753335739,0.5971315976212387,08_ablation_ABCDE,False
A2_B1_C1_D2_E2,B,A2,B1,C1,D2,E2,3,0.8413483421919253,0.02318835914981201,0.8100707008352952,0.8655213214969312,08_ablation_ABCDE,False
A2_B2_C1_D2_E2,B,A2,B2,C1,D2,E2,3,0.7857429221319703,0.01282432334028872,0.7728432928490382,0.8032333244831826,08_ablation_ABCDE,False
A2_B4_C1_D2_E2,B,A2,B4,C1,D2,E2,3,0.7787818075291151,0.014323427839922737,0.7655259843314872,0.7986744558815602,08_ablation_ABCDE,False
A2_B3_C2_D2_E2,C,A2,B3,C2,D2,E2,3,0.7946017150337252,0.019263594129791346,0.768147494716867,0.8134644049109004,08_ablation_ABCDE,False
A2_B3_C3_D2_E2,C,A2,B3,C3,D2,E2,3,0.8241803733279477,0.004141250339315837,0.8201946738725776,0.8298894821219415,08_ablation_ABCDE,False
A2_B3_C1_D1_E2,D,A2,B3,C1,D1,E2,3,0.7663546527436497,0.018360195696153946,0.7464540457044205,0.7907486247240204,08_ablation_ABCDE,False
A2_B3_C1_D3_E2,D,A2,B3,C1,D3,E2,3,0.7940691151558253,0.041334810040271494,0.7404742155790522,0.8410789333387049,08_ablation_ABCDE,False
A2_B3_C1_D4_E2,D,A2,B3,C1,D4,E2,3,0.7966895379055311,0.013565679567813136,0.7809661602730339,0.8140708401632115,08_ablation_ABCDE,False
A2_B3_C1_D2_E1,E,A2,B3,C1,D2,E1,3,0.47438709877992496,0.02372013646820857,0.4416066947769022,0.4969458618903671,08_ablation_ABCDE,False
A2_B3_C1_D2_E2,main,A2,B3,C1,D2,E2,10,0.8228658547678981,0.023842474277404584,0.8071649674739421,0.8362881079578324,06_G10F (10 seeds),True
