smooth_mode,aug_mode,n_seeds,macro_f1_mean,macro_f1_std,macro_f1_ci95_lo,macro_f1_ci95_hi,source,is_main_model
F0,G0,3,0.8039192886230763,0.018049017616079223,0.7800932333061573,0.8237626297296061,07_ablation_FG,False
F0,G1,3,0.8122271683237416,0.025261908632451657,0.7789378139005417,0.8401017254633034,07_ablation_FG,False
F0,G2,3,0.793297702259129,0.039149520187507926,0.739587600463683,0.8317908853184256,07_ablation_FG,False
F0,G3,3,0.7916042936507005,0.024194467632125405,0.7700134119224273,0.8253874217767113,07_ablation_FG,False
F1,G0,3,0.811280118551688,0.025963267108000735,0.791951328927542,0.8479803280755691,07_ablation_FG,False
F1,G1,3,0.7954948073397592,0.019890196325015014,0.7693538859422085,0.8175607689215744,07_ablation_FG,False
F1,G2,10,0.8946753112088937,0.020117115074865966,0.8821771833857869,0.9073206036283911,05_LOSO (10 seeds),True
F1,G3,3,0.799279654924696,0.008018273683289298,0.7882175588137649,0.8069697748906329,07_ablation_FG,False
F2,G0,3,0.7934703094543242,0.027772336287752435,0.7542282688641584,0.814505784435796,07_ablation_FG,False
F2,G1,3,0.8065849196580005,0.022781199519813822,0.7754373031991264,0.8292892306074781,07_ablation_FG,False
F2,G2,3,0.789390446341685,0.0028265815905942817,0.7866253176118851,0.7932729892191238,07_ablation_FG,False
F2,G3,3,0.8149457490608816,0.008972390159644123,0.802451071634169,0.8231082783044767,07_ablation_FG,False
